# index, is_user, name, tags, _pos
0,1,35443,[],"array([4.78554741, 2.75924748])"
1,0,899,"['bar', 'burgers', 'cash']","array([4.80260447, 2.7801435 ])"
2,1,24973,[],"array([4.90057899, 2.78647497])"
3,0,42406,"['sandwich', 'soup']","array([4.93693984, 2.7753073 ])"
4,1,14860,[],"array([4.81268347, 2.75453265])"
5,0,177,"['brunch', 'cocktails', 'dinner', 'foodie', 'unlimited']","array([4.81940582, 2.81233847])"
6,1,222505,[],"array([4.85679763, 2.81771665])"
7,1,63524,[],"array([4.78340185, 2.84493242])"
8,0,609,[\"america's\"],"array([4.8180275 , 2.82583411])"
9,1,51957,[],"array([4.8034949, 2.8719228])"
10,0,435580,[],"array([4.80312225, 2.87957096])"
11,1,7860,[],"array([4.84112513, 2.85566156])"
12,0,68829,"['airy', 'brunch', 'business']","array([4.81154552, 2.82799083])"
13,1,8952,[],"array([4.78282882, 2.80925021])"
14,0,12790,"['burrito', 'cart', 'crack']","array([4.79065892, 2.83005387])"
15,1,42283,[],"array([4.81636269, 2.73454877])"
16,0,15071,"['cafe', 'coffee']","array([4.82720473, 2.75853321])"
17,1,14506,[],"array([4.78269778, 2.75388243])"
18,0,25864,[],"array([4.7810585 , 2.74486263])"
19,1,121273,[],"array([4.75153465, 2.81677903])"
20,0,20624,['british'],"array([4.76160208, 2.79381935])"
21,1,25624,[],"array([4.787967  , 2.85820415])"
22,0,77986,[],"array([4.75797848, 2.82779373])"
23,1,31594,[],"array([4.81063106, 2.81562085])"
24,0,23124,['24'],"array([4.83082964, 2.85523644])"
25,1,23264,[],"array([4.80523509, 2.8419388 ])"
26,0,908,"['bagels', 'cream']","array([4.83094608, 2.82123925])"
27,1,58758,[],"array([4.80361186, 2.72506526])"
28,0,43480,"['bathroom', 'fast']","array([4.8353357 , 2.68064293])"
29,1,7128,[],"array([4.76257385, 2.78307203])"
30,0,34618,['a-list'],"array([4.77881331, 2.76336548])"
31,1,93642,[],"array([4.88862163, 2.71687861])"
32,0,12052,['24'],"array([4.87881366, 2.7234651 ])"
33,1,47596,[],"array([4.83647085, 2.84797955])"
34,0,12042,"['barbecue', 'bbq', 'bros', 'frat']","array([4.77860071, 2.83585751])"
35,1,59796,[],"array([4.84999319, 2.77340045])"
36,0,14197,['carrot'],"array([4.81778046, 2.78053509])"
37,1,60062,[],"array([4.87714087, 2.78530873])"
38,0,381,"['colonial', 'historical', 'old']","array([4.85266183, 2.78877274])"
39,1,60486,[],"array([4.82151634, 2.80591146])"
40,0,13519,['al'],"array([4.80255521, 2.8248963 ])"
41,1,130096,[],"array([4.67427775, 2.82459733])"
42,0,13015,"['bar\\/table']","array([4.75581942, 2.82115702])"
43,1,109481,[],"array([4.79074602, 2.95569525])"
44,0,13424,"[\"80's\", 'authentic', 'garden', 'heavy']","array([4.76800656, 2.86427058])"
45,1,186359,[],"array([4.82328775, 2.85021618])"
46,0,11100,"['bar', 'breakfast', 'brunch', 'dinner', 'donut', 'lunch', 'photobooth', 'restaurant', 'work']","array([4.8327892 , 2.81078074])"
47,1,69593,[],"array([4.83091544, 2.83556401])"
48,0,17741,"['bar', 'beer', 'bon']","array([4.80158333, 2.81486273])"
49,1,133092,[],"array([4.89776657, 2.86915769])"
50,0,15261,"['cafe', 'coffee']","array([4.92041784, 2.8392274 ])"
51,1,12246,[],"array([4.76049986, 2.72271564])"
52,0,12580,['italian'],"array([4.74745372, 2.68578875])"
53,1,13173,[],"array([4.81878268, 2.83258091])"
54,0,17030,['vietnamese'],"array([4.7757601 , 2.82186725])"
55,1,16474,[],"array([4.80485323, 2.7532246 ])"
56,0,163313,[],"array([4.78154192, 2.7410312 ])"
57,1,73976,[],"array([4.81996038, 2.78291381])"
58,0,13146,[],"array([4.87427541, 2.79739528])"
59,1,258400,[],"array([4.7275808 , 2.96636916])"
60,0,49727,[],"array([4.71454783, 2.98905101])"
61,0,14859,"['coffee', 'panini', 'pizza', 'salad']","array([4.77323158, 2.800328  ])"
62,1,43734,[],"array([4.85966937, 2.89994996])"
63,0,741,"['american', 'brunch', 'comfort']","array([4.79824958, 2.88738431])"
64,1,10469,[],"array([4.77393301, 2.83937619])"
65,0,713,['baseball'],"array([4.81647973, 2.84944917])"
66,1,34461,[],"array([4.83213233, 2.84309691])"
67,0,26057,[],"array([4.87527414, 2.87981871])"
68,1,31106,[],"array([4.81038367, 2.74066009])"
69,0,73888,"['diner', 'greasy']","array([4.80417095, 2.68203562])"
70,1,204573,[],"array([4.82696277, 2.79619192])"
71,0,210,['pasta'],"array([4.84333817, 2.79316058])"
72,1,230811,[],"array([4.80432029, 2.8288689 ])"
73,0,147002,"['steak', 'steakhouse']","array([4.82819861, 2.83592139])"
74,1,47178,[],"array([4.87301761, 2.80542344])"
75,0,17835,"['biscuits', 'coffee', 'frappuccino', 'muffins']","array([4.85638203, 2.77964703])"
76,1,44806,[],"array([4.88223796, 2.8016763 ])"
77,0,13621,"['bar', 'best']","array([4.8647077 , 2.79735465])"
78,1,159372,[],"array([4.74784588, 2.85042962])"
79,0,102278,"['burgers', 'food', 'tasty']","array([4.74960668, 2.81004616])"
80,1,57581,[],"array([4.79853203, 2.85284245])"
81,0,25656,['comfort'],"array([4.83855651, 2.83506754])"
82,1,139608,[],"array([4.80553915, 2.98687193])"
83,0,75509,[],"array([4.80584476, 3.00054689])"
84,1,17238,[],"array([4.82529991, 2.73710871])"
85,0,9209,"['backyard', 'bar', 'bar']","array([4.81914792, 2.73149926])"
86,1,224242,[],"array([4.73207282, 2.90316944])"
87,0,132346,['breakfast'],"array([4.74777727, 2.86485136])"
88,1,32880,[],"array([4.78748592, 2.80939206])"
89,0,39242,['ace'],"array([4.79694888, 2.80132511])"
90,1,27648,[],"array([4.74989069, 2.81355433])"
91,0,12118,['delicious'],"array([4.78237556, 2.79237158])"
92,1,241131,[],"array([4.77635248, 2.81494063])"
93,1,34872,[],"array([4.74272562, 2.84548927])"
94,0,123741,['asiago'],"array([4.70029393, 2.87219119])"
95,1,210809,[],"array([4.78809514, 2.83018076])"
96,0,1492,"['burger', 'food', 'happy']","array([4.83456613, 2.83051173])"
97,1,180959,[],"array([4.79663933, 2.85693177])"
98,0,25708,['Craft'],"array([4.75273714, 2.86912434])"
99,1,188400,[],"array([4.86441923, 2.83355821])"
100,0,160446,[],"array([4.94709561, 2.83611369])"
101,1,80552,[],"array([4.82490131, 2.97146106])"
102,0,43357,['zagat-rated'],"array([4.82775423, 3.01188684])"
103,1,9527,[],"array([4.82762122, 2.83029031])"
104,0,933,[],"array([4.88076596, 2.86950004])"
105,1,50620,[],"array([4.82396155, 2.7893172 ])"
106,0,27966,"['australian', 'barrista', 'black']","array([4.79289199, 2.79456797])"
107,1,59122,[],"array([4.8541379 , 2.79520482])"
108,0,30863,"['bathroom', 'coffee', 'douchbags', 'espresso', 'pastries', 'wifi']","array([4.85802303, 2.76333493])"
109,1,37005,[],"array([4.74085917, 2.82736112])"
110,0,21639,['happy'],"array([4.82580571, 2.85110884])"
111,1,6528,[],"array([4.88999458, 2.92565417])"
112,0,9250,"['beer', 'burgers', 'chicken']","array([4.84633264, 2.86970079])"
113,1,1106,[],"array([4.83231663, 2.8040632 ])"
114,0,35908,"['bar', 'food', 'restaurant', 'special', 'thai']","array([4.85357449, 2.86103041])"
115,1,1834,[],"array([4.83024455, 2.72792473])"
116,0,886,"['indonesian', 'malaysian', 'singaporean']","array([4.81754342, 2.75667757])"
117,1,39766,[],"array([4.73916405, 2.78189269])"
118,0,1289,[],"array([4.69432737, 2.74910156])"
119,1,24794,[],"array([4.79419748, 2.80202833])"
120,0,209,['sushi'],"array([4.74659728, 2.80183136])"
121,1,158442,[],"array([4.86684203, 2.88939261])"
122,0,52719,['burrito'],"array([4.88002315, 2.84607129])"
123,1,48083,[],"array([5.01875243, 2.77473378])"
124,0,26191,"['coffee', 'frappucino', 'latte', 'mocha']","array([5.04497705, 2.76723382])"
125,1,6998,[],"array([4.78158809, 2.81182295])"
126,0,10324,"['douchebag', 'coffee', 'creative', 'free']","array([4.77130947, 2.81936322])"
127,1,51939,[],"array([4.83808006, 2.86621724])"
128,0,26289,['coffee'],"array([4.80542943, 2.84647967])"
129,1,80487,[],"array([4.81988662, 2.8618427 ])"
130,1,51946,[],"array([4.78675999, 2.87761813])"
131,0,70246,"['breakfast', 'burgers', 'chicken', 'corn']","array([4.74055399, 2.88694941])"
132,1,78151,[],"array([4.77088281, 2.84817646])"
133,0,31748,['andy'],"array([4.82467387, 2.83365667])"
134,1,24436,[],"array([4.80289398, 2.82761138])"
135,0,8713,"['burgers', 'cheese']","array([4.8430025 , 2.80806612])"
136,1,37459,[],"array([4.84332634, 2.81596605])"
137,0,15692,"['cocktails', 'food', 'good']","array([4.83285078, 2.86173943])"
138,1,11418,[],"array([4.83207092, 2.83765194])"
139,0,6894,['steak'],"array([4.8012753 , 2.86636942])"
140,1,49161,[],"array([4.80445156, 2.79766606])"
141,0,7913,"['bourique', 'boutique', 'cheese', 'coffee', 'cupcake', 'cupcakes', 'foursquare']","array([4.82489432, 2.78736925])"
142,1,30955,[],"array([4.78522894, 2.73645709])"
143,0,23209,"['asian', 'awesome']","array([4.8027814 , 2.78953217])"
144,1,71476,[],"array([4.77538463, 2.89446757])"
145,0,170319,"['bronx', 'food', 'restaurant', 'thai']","array([4.76139009, 2.92080811])"
146,1,28102,[],"array([4.83705405, 2.83140641])"
147,0,17546,['korean'],"array([4.78940442, 2.80454477])"
148,1,48997,[],"array([4.7302089 , 2.84264026])"
149,0,6956,"['arepas', 'food', 'homestyle', 'pabellon', 'patacones', 'venezuelan']","array([4.74932802, 2.86091882])"
