# index, name, _pos
0,BALCO,"array([ 0.42916385, -1.06252603])"
1,Greg_Anderson,"array([ 0.92099285, -0.80835392])"
2,Palm_Beach_Rejuvenation_Centre,"array([-0.4604673 , -2.28633679])"
3,New_Hope_Health_Centre,"array([ 0.97088245, -4.86546354])"
4,Signature_Pharmacy,"array([-0.30669722, -3.17679839])"
5,American_Pharmaceutical_Group,"array([ 2.95233045, -1.87045357])"
6,Health_Rejuvenation_Centre,"array([-0.45673428, -3.93778089])"
7,Applied_Pharmacy_Services,"array([ 0.10571343, -3.51182852])"
8,Arizona_AntiAging_Clinic,"array([ 0.30421134, -2.92204833])"
9,Health_Watch_Clinic,"array([-0.06342055, -3.96214378])"
10,BrianMcNamee,"array([ 2.44737416, -0.62265056])"
11,Kirk_Radomski,"array([ 2.28062637, -3.02765851])"
12,Victor_Conte,"array([ 0.07169181, -1.03930021])"
13,Jeremy_Giambi,"array([ 0.2896632 , -1.38480237])"
14,Jason_Giambi,"array([ 0.65171679, -0.72071321])"
15,Gary_Sheffield,"array([ 0.69900542, -0.9946682 ])"
16,Bobby_Estalella,"array([ 1.30160939, -0.80202078])"
17,Benito_Santiago,"array([ 1.17355964, -0.5219809 ])"
18,Marvin_Bernard,"array([ 1.16849477, -1.0904343 ])"
19,Barry_Bonds,"array([ 0.7753364 , -1.21009441])"
20,Armando_Rios,"array([ 0.44309795, -0.77115589])"
21,Randy_Velarde,"array([ 0.86703814, -0.42949392])"
22,Matt_Williams,"array([-0.77953706, -2.12250555])"
23,Daren_Holmes,"array([-0.52136112, -1.91499813])"
24,Paul_Byrd,"array([-0.20832326, -2.02304241])"
25,Jose_Guillen,"array([-0.73874275, -2.46197203])"
26,Ismael_Vaklez,"array([-0.12994352, -2.34749458])"
27,Jason_Grimsley,"array([-0.39155235, -2.73205644])"
28,Troy_Glaus,"array([ 1.24265494, -4.95355733])"
29,Scott_Schoeneweis,"array([ 0.69282461, -4.77893329])"
30,Steve_Woodward,"array([-0.641683  , -3.19480301])"
31,Gary_MatthewsJr,"array([-0.13853377, -3.36732969])"
32,David_Bell,"array([ 0.0739602 , -3.15181201])"
33,Jose_Canseco,"array([-0.23286633, -3.64933777])"
34,John_Rocker,"array([ 0.37546787, -3.71123074])"
35,Jay_Gibbons,"array([ 3.13889114, -1.5668592 ])"
36,Rick_Ankiel,"array([-0.52002793, -4.23699303])"
37,Chuck_Knoblauch,"array([ 2.28884791, -0.35994115])"
38,Roger_Clemense,"array([ 2.24273773, -0.84538683])"
39,Andy_Pettittle,"array([ 2.74326891, -0.68005056])"
40,Brian_Roberts,"array([ 1.80812637, -2.87628501])"
41,Todd_Pratt,"array([ 2.30536126, -3.33888956])"
42,Tod_Hundley,"array([ 2.53566268, -3.44404442])"
43,Kent_Mercker,"array([ 1.73792374, -2.51585131])"
44,Jerry_HarrisonJr,"array([ 2.70014472, -2.29655436])"
45,Jason_Christiansen,"array([ 2.86996329, -2.60047784])"
46,Matt_Herges,"array([ 2.01032383, -3.02979737])"
47,David_Segul,"array([ 2.56742203, -3.69220416])"
48,Matt_Franco,"array([ 2.69876048, -2.78311832])"
49,Adam_Riggs,"array([ 2.35254434, -3.56113883])"
50,Exavier_Logan,"array([ 1.56436266, -2.9336298 ])"
51,Fernando_Vina,"array([ 1.87459863, -3.24220557])"
52,Chad_Allen,"array([ 1.93482945, -2.39429047])"
53,Larry_Bigble,"array([ 2.14223321, -3.50525173])"
54,Eric_Gagne,"array([ 1.94003367, -3.43393134])"
55,Paulio_Duca,"array([ 2.05052397, -2.81473369])"
56,Brendan_Donnelly,"array([ 2.67565474, -3.13217725])"
57,Chris_Donnels,"array([ 1.55069836, -3.16294265])"
58,Cody_McKay,"array([ 2.08188885, -2.57425996])"
59,Mark_Carreon,"array([ 2.26934796, -2.7976121 ])"
60,Lenny_Dykstra,"array([ 2.13547082, -3.73682205])"
61,Rondell_White,"array([ 2.66809325, -2.56064275])"
62,FP_Santagelo,"array([ 2.28533541, -2.55034688])"
63,Mike_Stanton,"array([ 3.02533556, -3.02615567])"
64,Todd_Williams,"array([ 2.74914403, -3.58187854])"
65,Josias_Manzanillo,"array([ 1.92990206, -3.67169125])"
66,Jose_Cervantes,"array([ 2.48439556, -2.45965778])"
67,David_Justice,"array([ 1.75250745, -3.07455791])"
68,Adam_Platt,"array([ 2.96046215, -2.80332835])"
69,Miguel_Tejada,"array([ 2.47921501, -2.71024694])"
70,Kevin_Brown,"array([ 1.66322776, -3.34857126])"
71,Luis_Perez,"array([ 2.35163404, -2.30228756])"
72,Gregg_Zaun,"array([ 2.35008551, -3.7770204 ])"
73,Jeff_Williams,"array([ 2.11030581, -3.24497806])"
74,Kevin_Young,"array([ 1.62915166, -2.71850064])"
75,Tim_Laker,"array([ 2.92404335, -3.20462466])"
76,Hal_Morris,"array([ 1.87782795, -2.66423694])"
77,Mike_Lansing,"array([ 2.80726116, -2.96967255])"
78,Glenallen_Hill,"array([ 2.51817314, -2.94290562])"
79,Mike_Bell,"array([ 2.47275041, -3.19814548])"
80,Bart_Miadich,"array([ 2.13836021, -2.33889511])"
81,Jim_Parque,"array([ 2.71360296, -3.34106552])"
82,Phil_Hiatt,"array([ 2.92429591, -3.42093518])"
83,Denny_Neagle,"array([ 1.74000165, -3.53990631])"
